Dia,ID,Ejercicio,Series_Reps,Peso
1,1-0,Curl Bíceps,4 x 10-15,2 x 8KG
1,1-1,Elevaciones Laterales,3 x 12-10,6KG
1,1-2,Flexiones,3 x 12-15,
1,1-3,Chin Ups,3 x 8-10,25LB
1,1-4,Sentadillas Búlgaras,3 x 8-10,2 x 12KG
1,1-5,Press Francés,3 x 12-15,18KG
1,1-6,Fondos en Paralela,3 x 8-10,25LB
1,1-7,Bicho Muerto,3 x 8-12,
1,1-8,Encogimientos Laterales con Mancuerna,3 x 10-15,18KG
2,2-0,Curl Inclinado,3 x 12-15,2 x 7KG
2,2-1,Fondos en Banco,4 x 12-15,
2,2-2,Curl Martillo,2 x 12-15,2 x 8KG
2,2-3,Elevaciones Inclinado,3 x 14-15,7KG
2,2-4,Máquina de Chichis,3 x 10-12,100LB
2,2-5,Remo una Mano,4 x 10-15,12KG
2,2-6,Toques de Tobillo,3 x 10-20,
2,2-7,Crunch Abdominal,3 x 10-15,
3,3-0,Dominadas Pronas,3 x 6-8,25LB
3,3-1,Bíceps Scott,3 x 12-15,18KG
3,3-2,Tríceps Overhead,4 x 12-15,14KG
3,3-3,Remo al Mentón,4 x 12-15,18KG
3,3-4,Flexiones,3 x AMRAP,
3,3-5,Plancha Lateral,3 x 30-40seg,
3,3-6,Air Bike Acostado,3 x 15-25,
